,Active Calories,Resting Calories,Total
Nov 6,144,1927,2071
Nov 7,127,1930,2057
Nov 8,121,1931,2052
Nov 9,174,1926,2100
Nov 10,229,1923,2152
Nov 11,189,1921,2110
Nov 12,127,1931,2058
Nov 13,245,1926,2171
Nov 14,305,1931,2236
Nov 15,301,1939,2240
Nov 16,342,1928,2270
Nov 17,165,1937,2102
Nov 18,412,1939,2351
Nov 19,353,1941,2294
Nov 20,364,1937,2301
Nov 21,356,1948,2304
Nov 22,89,1942,2031
Nov 23,300,1936,2236
Nov 24,492,1934,2426
Nov 25,171,1943,2114
Nov 26,292,1943,2235
Nov 27,375,1934,2309
Nov 28,217,1934,2151
Nov 29,188,1942,2130
Nov 30,435,1933,2368
Dec 1,235,1939,2174
Dec 2,90,1938,2028
Dec 3,242,1925,2167