,Active Calories,Resting Calories,Total
Oct 9,201,1922,2123
Oct 10,229,1917,2146
Oct 11,223,1917,2140
Oct 12,170,1920,2090
Oct 13,156,1925,2081
Oct 14,362,1921,2283
Oct 15,321,1925,2246
Oct 16,87,1927,2014
Oct 17,129,1927,2056
Oct 18,239,1927,2166
Oct 19,556,1921,2477
Oct 20,287,1931,2218
Oct 21,154,1934,2088
Oct 22,264,1936,2200
Oct 23,254,1933,2187
Oct 24,445,1933,2378
Oct 25,151,1928,2079
Oct 26,134,1930,2064
Oct 27,174,1931,2105
Oct 28,191,1939,2130
Oct 29,108,1941,2049
Oct 30,119,1927,2046
Oct 31,453,1928,2381
Nov 1,157,1936,2093
Nov 2,456,1936,2392
Nov 3,114,1925,2039
Nov 4,116,1928,2044
Nov 5,247,1921,2168