,Active Calories,Resting Calories,Total
Aug 14,311,1943,2254
Aug 15,96,1943,2039
Aug 16,292,1931,2223
Aug 17,164,1939,2103
Aug 18,297,1944,2241
Aug 19,106,1942,2048
Aug 20,167,1942,2109
Aug 21,226,1939,2165
Aug 22,181,1938,2119
Aug 23,366,1941,2307
Aug 24,148,1932,2080
Aug 25,149,1934,2083
Aug 26,103,1943,2046
Aug 27,81,1936,2017
Aug 28,272,1939,2211
Aug 29,269,1936,2205
Aug 30,157,1936,2093
Aug 31,109,1937,2046
Sep 1,158,1943,2101
Sep 2,227,1943,2170
Sep 3,315,1943,2258
Sep 4,140,1934,2074
Sep 5,251,1931,2182
Sep 6,315,1927,2242
Sep 7,320,1934,2254
Sep 8,252,1932,2184
Sep 9,208,1933,2141
Sep 10,201,1936,2137