,Active Calories,Resting Calories,Total
Jul 17,104,1927,2031
Jul 18,314,1928,2242
Jul 19,261,1925,2186
Jul 20,192,1928,2120
Jul 21,248,1930,2178
Jul 22,283,1933,2216
Jul 23,143,1930,2073
Jul 24,137,1936,2073
Jul 25,135,1930,2065
Jul 26,91,1922,2013
Jul 27,275,1922,2197
Jul 28,842,1938,2780
Jul 29,408,1938,2346
Jul 30,185,1939,2124
Jul 31,197,1947,2144
Aug 1,280,1947,2227
Aug 2,455,1937,2392
Aug 3,308,1939,2247
Aug 4,212,1944,2156
Aug 5,231,1942,2173
Aug 6,108,1944,2052
Aug 7,186,1942,2128
Aug 8,293,1938,2231
Aug 9,230,1942,2172
Aug 10,291,1937,2228
Aug 11,273,1937,2210
Aug 12,330,1952,2282
Aug 13,160,1947,2107