,Active Calories,Resting Calories,Total
May 22,175,1936,2111
May 23,173,1936,2109
May 24,145,1936,2081
May 25,201,1936,2137
May 26,259,1944,2203
May 27,236,1934,2170
May 28,193,1932,2125
May 29,173,1934,2107
May 30,179,1936,2115
May 31,248,1932,2180
Jun 1,210,1933,2143
Jun 2,507,1932,2439
Jun 3,105,1932,2037
Jun 4,115,1931,2046
Jun 5,129,1932,2061
Jun 6,202,1931,2133
Jun 7,241,1926,2167
Jun 8,369,1934,2303
Jun 9,131,1939,2070
Jun 10,83,1932,2015
Jun 11,124,1932,2056
Jun 12,253,1939,2192
Jun 13,286,1933,2219
Jun 14,204,1934,2138
Jun 15,179,1930,2109
Jun 16,453,1931,2384
Jun 17,86,1937,2023
Jun 18,205,1936,2141